pathogen,deepseek,deepseek,deepseek,glm,glm,glm,gpt,gpt,gpt,kimi,kimi,kimi,oss,oss,oss
,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall
Ebola,0.5533698488445897,0.6811926605504588,0.5894972858154355,0.7476383918496308,0.7534568266167438,0.7454282352192857,0.5994500846023689,0.6119746689694876,0.5992320292151123,0.7146702089359536,0.7216614906832298,0.7444427796269144,0.7726227019702161,0.731410383161965,0.8385851133934454
Lassa,0.46654351395730703,0.6266025641025641,0.5377869897959183,0.7333778817240227,0.7732884399551067,0.7293563579277864,0.6280487804878049,0.663239985820631,0.6287391668996365,0.7408906882591093,0.7382316313823163,0.7470937742185482,0.7832305733756022,0.7859543010752688,0.7805710329365996
MERS,0.5764705882352942,0.7363517489375613,0.5960925039872408,0.6946280572687631,0.7559391827684511,0.6846917450365726,0.6055301998075293,0.6576100199814805,0.6074561403508771,0.7663768115942029,0.7601570415400203,0.7871240076037124,0.7891444392468995,0.7578971037956468,0.8298851928251607
Marburg,0.41836734693877553,0.36607142857142855,0.4880952380952381,0.7579560735096369,0.8605769230769231,0.7222222222222222,0.5894736842105264,0.7617924528301887,0.5880952380952381,0.6578616352201259,0.6578616352201259,0.6578616352201259,0.7532783004302448,0.7455300127713921,0.7615646258503401
Nipah,0.5294117647058824,0.73046875,0.5590147536884221,0.6134615384615385,0.7204625439919559,0.6120623562484028,0.631578947368421,0.7983193277310925,0.6284237726098191,0.8191508581752485,0.8328320802005013,0.8088372093023256,0.8531664454795423,0.8656609195402298,0.8416222020873183
SARS,0.5920170008315624,0.7332657200811359,0.6095955685270118,0.7210526315789474,0.7325971845537905,0.715869591274122,0.5844385499557914,0.6041652760162872,0.5846395834463307,0.6630329457364341,0.6700738437621454,0.694887325198183,0.7578499870614765,0.7087707922521658,0.8521490071517039
Zika,0.5160462537620782,0.6062064118505703,0.5506301383984948,0.5945625370665168,0.6015449070437286,0.5933602965958881,0.5011566473201872,0.5016891891891893,0.5016283992835043,0.6121808316930268,0.627630217316316,0.6417338709677419,0.6917415456242028,0.6564420122887864,0.7884107257993147
Overall,0.5217466167536414,0.6400227548705313,0.5615303540439659,0.6946681587798652,0.7425522868580999,0.6861415435034687,0.5913824133932327,0.6569701315054796,0.5911734757000741,0.7105948542305859,0.7154925628720935,0.725997228876793,0.771576284741169,0.7502379321264935,0.8132554142919834
