pathogen,field,precision,recall,f1,model
Lassa,outbreak_end_month,0.8,0.667,0.727,glm
Lassa,cases_confirmed,1.0,0.833,0.909,glm
Lassa,deaths,1.0,1.0,1.0,glm
Lassa,outbreak_country,0.833,0.833,0.833,glm
Lassa,outbreak_location,0.333,0.5,0.4,glm
Lassa,mode_of_detection,0.667,0.667,0.667,glm
Lassa,pre_outbreak,0.833,0.833,0.833,glm
Lassa,outbreak_is_currently_ongoing,1.0,1.0,1.0,glm
Lassa,asymptomatic_transmission_described,1.0,1.0,1.0,glm
Lassa,Article Flagging,0.649,0.677,0.66,glm
Zika,outbreak_count,0.84,0.375,0.519,glm
Zika,outbreak_start_day,0.8,0.889,0.842,glm
Zika,outbreak_start_month,0.85,0.895,0.872,glm
Zika,outbreak_start_year,0.952,0.952,0.952,glm
Zika,outbreak_end_day,0.75,0.833,0.789,glm
Zika,outbreak_end_month,0.85,0.895,0.872,glm
Zika,cases_confirmed,0.81,0.895,0.85,glm
Zika,deaths,0.905,1.0,0.95,glm
Zika,outbreak_country,1.0,1.0,1.0,glm
Zika,outbreak_location,0.286,0.3,0.293,glm
Zika,mode_of_detection,0.429,0.429,0.429,glm
Zika,pre_outbreak,0.188,0.231,0.207,glm
Zika,outbreak_is_currently_ongoing,0.952,0.952,0.952,glm
Zika,asymptomatic_transmission_described,0.857,0.857,0.857,glm
Zika,Article Flagging,0.67,0.872,0.699,glm
Lassa,outbreak_count,0.625,1.0,0.769,gpt
Lassa,outbreak_start_day,1.0,0.8,0.889,gpt
Lassa,outbreak_start_month,1.0,0.9,0.947,gpt
Lassa,outbreak_start_year,0.9,0.9,0.9,gpt
Lassa,outbreak_end_day,1.0,0.8,0.889,gpt
Lassa,outbreak_end_month,0.9,0.9,0.9,gpt
Lassa,cases_confirmed,0.875,0.7,0.778,gpt
Lassa,deaths,0.9,0.9,0.9,gpt
Lassa,outbreak_country,1.0,1.0,1.0,gpt
Lassa,outbreak_location,0.3,0.375,0.333,gpt
Lassa,mode_of_detection,0.25,0.2,0.222,gpt
Lassa,pre_outbreak,0.8,0.8,0.8,gpt
Lassa,outbreak_is_currently_ongoing,1.0,1.0,1.0,gpt
Lassa,asymptomatic_transmission_described,1.0,1.0,1.0,gpt
Lassa,Article Flagging,0.719,0.84,0.744,gpt
Zika,outbreak_count,0.763,0.918,0.833,gpt
Zika,outbreak_start_day,0.977,0.977,0.977,gpt
Zika,outbreak_start_month,1.0,0.978,0.989,gpt
Zika,outbreak_start_year,1.0,0.978,0.989,gpt
Zika,outbreak_end_day,0.953,0.932,0.943,gpt
