pathogen,field,precision,recall,f1,model
SARS,screening,0.673,1.0,0.805,kimi
SARS,model_count,0.673,1.0,0.805,kimi
SARS,model_type,0.8,0.8,0.8,kimi
SARS,compartmental_type,0.857,0.857,0.857,kimi
SARS,stoch_deter,0.857,0.727,0.787,kimi
SARS,transmission_route,0.246,0.412,0.308,kimi
SARS,theoretical_model,0.714,0.714,0.714,kimi
SARS,code_available,0.971,0.943,0.957,kimi
SARS,assumptions,0.264,0.543,0.355,kimi
SARS,interventions_type,0.263,0.656,0.375,kimi
SARS,Article Flagging,0.87,0.872,0.871,kimi
Zika,screening,0.717,0.974,0.826,kimi
Zika,model_count,0.717,0.974,0.826,kimi
Zika,model_type,0.895,0.895,0.895,kimi
Zika,compartmental_type,0.76,0.76,0.76,kimi
Zika,stoch_deter,0.818,0.711,0.761,kimi
Zika,transmission_route,0.615,0.681,0.646,kimi
Zika,theoretical_model,0.737,0.737,0.737,kimi
Zika,code_available,0.868,0.868,0.868,kimi
Zika,assumptions,0.268,0.629,0.376,kimi
Zika,interventions_type,0.365,0.679,0.475,kimi
Zika,Article Flagging,0.901,0.92,0.909,kimi
Ebola,screening,0.876,0.987,0.929,glm
Ebola,model_count,0.876,0.987,0.929,glm
Ebola,model_type,0.885,0.885,0.885,glm
Ebola,stoch_deter,0.8,0.896,0.845,glm
Ebola,transmission_route,0.053,0.065,0.058,glm
Ebola,theoretical_model,0.859,0.859,0.859,glm
Ebola,code_available,0.849,0.795,0.821,glm
Ebola,assumptions,0.22,0.429,0.291,glm
Ebola,interventions_type,0.433,0.755,0.55,glm
Ebola,Article Flagging,0.947,0.945,0.946,glm
Lassa,screening,1.0,1.0,1.0,glm
Lassa,model_count,1.0,1.0,1.0,glm
Lassa,model_type,0.667,0.667,0.667,glm
Lassa,compartmental_type,0.0,0.0,0.0,glm
Lassa,stoch_deter,1.0,0.889,0.941,glm
Lassa,transmission_route,1.0,0.944,0.971,glm
Lassa,theoretical_model,1.0,1.0,1.0,glm
Lassa,code_available,0.875,0.778,0.824,glm
Lassa,assumptions,0.348,0.727,0.471,glm
Lassa,interventions_type,0.667,0.909,0.769,glm
Lassa,Article Flagging,1.0,1.0,1.0,glm
SARS,screening,0.756,1.0,0.861,glm
SARS,model_count,0.756,1.0,0.861,glm
SARS,model_type,0.806,0.806,0.806,glm
SARS,compartmental_type,0.8,0.8,0.8,glm
SARS,stoch_deter,0.839,0.897,0.867,glm
SARS,transmission_route,0.175,0.233,0.2,glm
SARS,theoretical_model,0.516,0.516,0.516,glm
SARS,code_available,0.966,0.903,0.933,glm
SARS,assumptions,0.188,0.406,0.257,glm
SARS,interventions_type,0.283,0.548,0.374,glm
SARS,Article Flagging,0.846,0.836,0.839,glm
Zika,screening,0.881,0.974,0.925,glm
Zika,model_count,0.881,0.974,0.925,glm
Zika,model_type,0.919,0.919,0.919,glm
Zika,compartmental_type,0.731,0.731,0.731,glm
Zika,stoch_deter,0.818,0.73,0.771,glm
Zika,transmission_route,0.654,0.739,0.694,glm
Zika,theoretical_model,0.865,0.865,0.865,glm
Zika,code_available,0.824,0.757,0.789,glm
Zika,assumptions,0.236,0.583,0.336,glm
Zika,interventions_type,0.271,0.5,0.351,glm
Zika,Article Flagging,0.928,0.928,0.928,glm
Ebola,screening,0.556,1.0,0.715,gpt
Ebola,model_count,0.556,1.0,0.715,gpt
Ebola,model_type,0.911,0.911,0.911,gpt
Ebola,stoch_deter,0.841,0.746,0.791,gpt
Ebola,transmission_route,0.261,0.291,0.275,gpt
Ebola,theoretical_model,0.924,0.924,0.924,gpt
Ebola,code_available,0.861,0.861,0.861,gpt
Ebola,assumptions,0.2,0.511,0.287,gpt
Ebola,interventions_type,0.416,0.674,0.514,gpt
Ebola,Article Flagging,0.893,0.895,0.892,gpt
Lassa,screening,0.6,1.0,0.75,gpt
Lassa,model_count,0.6,1.0,0.75,gpt
Lassa,model_type,0.778,0.778,0.778,gpt
Lassa,compartmental_type,0.0,0.0,0.0,gpt
Lassa,stoch_deter,1.0,0.889,0.941,gpt
Lassa,transmission_route,0.778,0.778,0.778,gpt
Lassa,theoretical_model,0.889,0.889,0.889,gpt
Lassa,code_available,1.0,1.0,1.0,gpt
Lassa,assumptions,0.455,0.909,0.606,gpt
Lassa,interventions_type,0.6,0.818,0.692,gpt
Lassa,Article Flagging,0.955,0.987,0.97,gpt
SARS,screening,0.493,1.0,0.66,gpt
SARS,model_count,0.493,1.0,0.66,gpt
SARS,model_type,0.765,0.765,0.765,gpt
SARS,compartmental_type,0.857,0.857,0.857,gpt
SARS,stoch_deter,0.917,0.667,0.772,gpt
SARS,transmission_route,0.333,0.471,0.39,gpt
SARS,theoretical_model,0.647,0.647,0.647,gpt
SARS,code_available,0.971,0.971,0.971,gpt
SARS,assumptions,0.143,0.371,0.206,gpt
SARS,interventions_type,0.325,0.781,0.459,gpt
SARS,Article Flagging,0.861,0.861,0.861,gpt
Zika,screening,0.609,1.0,0.757,gpt
Zika,model_count,0.609,1.0,0.757,gpt
Zika,model_type,0.872,0.872,0.872,gpt
Zika,compartmental_type,0.769,0.769,0.769,gpt
Zika,stoch_deter,0.81,0.436,0.567,gpt
Zika,transmission_route,0.7,0.729,0.714,gpt
Zika,theoretical_model,0.795,0.795,0.795,gpt
Zika,code_available,0.897,0.897,0.897,gpt
Zika,assumptions,0.262,0.75,0.388,gpt
Zika,interventions_type,0.311,0.731,0.437,gpt
Zika,Article Flagging,0.886,0.911,0.896,gpt
