pathogen,model,field,precision,recall,f1
Ebola,glm,parameter_count,0.587,0.65,0.617
Ebola,glm,unit,0.816,0.488,0.611
Ebola,glm,value,0.204,0.204,0.204
Ebola,glm,method,0.537,0.796,0.641
Ebola,glm,value_type,0.306,0.394,0.344
Ebola,glm,paired_uncertainty,0.453,0.837,0.588
Ebola,glm,single_type_uncertainty,0.943,0.918,0.931
Ebola,glm,population_sex,0.777,0.83,0.803
Ebola,glm,population_group,0.137,0.16,0.148
Ebola,glm,population_sample_type,0.385,0.441,0.411
Lassa,glm,parameter_count,0.742,0.589,0.657
Lassa,glm,unit,0.861,0.47,0.608
Lassa,glm,value,0.182,0.182,0.182
Lassa,glm,method,0.667,0.741,0.702
Lassa,glm,value_type,0.145,0.205,0.17
Lassa,glm,paired_uncertainty,0.459,0.718,0.56
Lassa,glm,single_type_uncertainty,0.954,0.984,0.969
Lassa,glm,population_sex,0.917,0.833,0.873
Lassa,glm,population_group,0.233,0.215,0.224
Lassa,glm,population_sample_type,0.767,0.708,0.736
SARS,glm,parameter_count,0.511,0.59,0.548
SARS,glm,unit,0.733,0.66,0.695
SARS,glm,value,0.169,0.169,0.169
SARS,glm,method,0.649,0.841,0.733
SARS,glm,value_type,0.304,0.53,0.387
SARS,glm,paired_uncertainty,0.513,0.881,0.648
SARS,glm,single_type_uncertainty,0.922,0.964,0.942
SARS,glm,population_sex,0.536,0.659,0.591
SARS,glm,population_group,0.214,0.242,0.227
SARS,glm,population_sample_type,0.571,0.621,0.595
Zika,glm,parameter_count,0.593,0.669,0.629
Zika,glm,unit,0.489,0.244,0.326
Zika,glm,value,0.16,0.16,0.16
Zika,glm,method,0.762,0.7,0.73
Zika,glm,value_type,0.2,0.33,0.249
Zika,glm,statistical_approach,0.526,0.73,0.612
Zika,glm,paired_uncertainty,0.521,0.934,0.669
Zika,glm,single_type_uncertainty,0.984,0.995,0.99
Zika,glm,population_sex,0.54,0.647,0.589
Zika,glm,population_group,0.594,0.581,0.587
Zika,glm,population_sample_type,0.465,0.453,0.459
Ebola,gpt,parameter_count,0.458,0.804,0.584
Ebola,gpt,unit,0.869,0.571,0.689
Ebola,gpt,value,0.305,0.305,0.305
Ebola,gpt,method,0.719,0.858,0.782
Ebola,gpt,value_type,0.387,0.431,0.408
Ebola,gpt,paired_uncertainty,0.487,0.772,0.597
Ebola,gpt,single_type_uncertainty,0.96,0.927,0.943
Ebola,gpt,population_sex,0.777,0.667,0.718
Ebola,gpt,population_group,0.207,0.191,0.199
Ebola,gpt,population_sample_type,0.497,0.455,0.475
Lassa,gpt,parameter_count,0.305,0.855,0.45
Lassa,gpt,unit,0.953,0.555,0.701
Lassa,gpt,value,0.304,0.304,0.304
Lassa,gpt,method,0.731,0.823,0.775
Lassa,gpt,value_type,0.139,0.211,0.168
Lassa,gpt,paired_uncertainty,0.654,0.861,0.743
Lassa,gpt,single_type_uncertainty,0.945,0.972,0.958
Lassa,gpt,population_sex,0.897,0.777,0.833
Lassa,gpt,population_group,0.649,0.562,0.603
Lassa,gpt,population_sample_type,0.66,0.571,0.612
SARS,gpt,parameter_count,0.371,0.879,0.522
SARS,gpt,unit,0.771,0.657,0.71
SARS,gpt,value,0.284,0.284,0.284
SARS,gpt,method,0.746,0.87,0.803
SARS,gpt,value_type,0.363,0.55,0.437
SARS,gpt,paired_uncertainty,0.524,0.894,0.661
SARS,gpt,single_type_uncertainty,0.879,0.942,0.91
SARS,gpt,population_sex,0.673,0.711,0.691
SARS,gpt,population_group,0.137,0.133,0.135
SARS,gpt,population_sample_type,0.635,0.606,0.62
Zika,gpt,parameter_count,0.31,0.797,0.446
Zika,gpt,unit,0.678,0.466,0.552
Zika,gpt,value,0.248,0.248,0.248
Zika,gpt,method,0.855,0.734,0.79
Zika,gpt,value_type,0.251,0.414,0.312
Zika,gpt,statistical_approach,0.527,0.709,0.605
Zika,gpt,paired_uncertainty,0.498,0.944,0.652
